gbifid,latitude,longitude
1671725421,34.784409,-113.607641
1586103219,33.067259,-111.451621
1088911334,33.361219,-111.735078
1802669191,32.286687,-111.0905
1699387842,32.119552,-110.977777
1453453045,32.220837,-111.097472
1438808065,29.858817,-111.48047
1668878976,32.205772,-110.738022
1269553724,33.751955,-111.826023
1802731229,32.228403,-111.040893
1668894226,32.405237,-110.995903
1065605409,32.64517,-111.407403
1668871454,32.083275,-110.919328
1699381617,32.294195,-111.050003
1584421492,32.901214,-111.278972
1802727998,32.323212,-111.102225
1500278846,32.308697,-111.100853
1802752697,32.294278,-111.079628
1563428759,33.2415,-110.259605
1802691221,32.192375,-111.027992
1562930120,31.962678,-110.825097
1802753415,32.299583,-111.088433
1802692025,32.192453,-111.019736
1802730208,32.321053,-110.879487
1453395241,32.711297,-110.650345
1272082037,33.728871,-111.50744
1421760316,30.719444,-111.833333
1703160021,32.323288,-111.08663
1802708318,32.087953,-110.661338
1668866153,32.272701,-110.843831
1586945328,33.862992,-112.19123
1418713428,34.181369,-113.011662
1677315830,32.85786,-112.38514
1802752757,32.29728,-111.081825
1677352371,32.281692,-111.057908
1453453954,32.257213,-111.05023
1562922813,32.236242,-111.004403
1438808668,30.291153,-110.721624
1586104546,32.528205,-111.447722
1584423118,32.291826,-111.249634
1500335915,31.962947,-112.806763
1668866157,32.282468,-110.855127
1677288144,32.895317,-112.496235
1802669153,32.286649,-111.090768
1457596535,32.397158,-110.457947
1802709746,32.233508,-111.055305
1640128752,33.147425,-110.991576
1453455049,32.243767,-111.065628
1562938356,31.941095,-110.798937
1571181056,32.327495,-110.998688
1453114071,32.124375,-111.049019
1453539273,32.161858,-111.104958
1453183146,33.551696,-111.610795
1668870021,32.286342,-110.857162
1438808637,31.978167,-113.238509
1562948377,32.317587,-111.155289
1438808655,31.971049,-113.624222
1453454954,32.244053,-111.065605
1571151303,32.250708,-111.05818
1805379291,32.288733,-111.115097
1453373812,32.310122,-110.812003
1671725485,33.647295,-112.495954
1438808780,30.29137,-110.721572
1500339439,32.204475,-112.530512
1500284646,32.150147,-110.734458
1802709767,32.23235,-111.049858
1418713460,29.561549,-112.214255
1640133679,32.642712,-111.115661
1453374021,32.313637,-110.812355
1802664414,32.390233,-111.076011
1455572160,32.197647,-111.1763
1453455988,32.239883,-111.091622
1572348726,31.963122,-110.853128
1586104589,32.530333,-111.44622
1418715083,31.972334,-113.625729
1418713683,31.972149,-113.626422
1500295950,32.294328,-111.08448
1457633503,32.267567,-111.115783
1677293356,33.745891,-113.760574
1438808469,29.858517,-111.480179
1640128126,32.125989,-111.021872
1455595927,32.334075,-111.106208
1438808855,30.806385,-112.238078
1802764012,32.29762,-111.09893
1802667084,32.388313,-111.067589
1584423204,32.291783,-111.237463
1584417906,32.692508,-111.083739
1586158927,32.208937,-111.023439
1453121849,32.33755,-111.121614
1802752722,32.295442,-111.080789
1453460222,32.2212,-111.097725
1438808218,31.304551,-112.552654
1802687600,32.257217,-111.068144
1584417765,33.102158,-111.371912
1562981119,32.256528,-111.019775
1438808792,28.591818,-110.246403
1584408051,32.38498,-111.321137
1802687553,32.256925,-111.073203
1418713201,29.561099,-112.216066
1562944376,32.338178,-111.12278
1453430378,34.542328,-113.444412
1640095204,32.760684,-110.652914
1562898720,32.573708,-110.581588
1699370276,32.267097,-111.062797
1453429455,33.826697,-112.42112
1802702147,32.155456,-110.773217
667634632,,
1562982894,32.26125,-110.958405
1802700774,32.289008,-111.112853
1802666837,32.25575,-111.065047
1024178143,32.159716,-110.715317
1802704301,32.088142,-110.668953
1438808102,31.125882,-111.382816
1584410777,32.268692,-110.921937
1802687374,32.290808,-111.089644
1572348863,31.957705,-110.918005
1802716386,32.334072,-110.902197
1640078133,32.159626,-111.016789
1640059387,32.462095,-110.973008
1562917514,32.333103,-111.022133
1640088755,33.154142,-110.806428
1453348713,32.269178,-110.715363
1562957181,32.278447,-111.091011
1802694276,32.237258,-111.034064
1586917608,27.926729,-110.834476
