ID_REF	GSM1684095	GSM1684096	GSM1684097	GSM1684098	GSM1684099	GSM1684100	GSM1684101	GSM1684102	GSM1684103	GSM1684104
ILMN_1799826	116.1248	108.5596	111.3353	119.5436	94.22337	90.99804	95.63256	99.52229	102.5683	91.85963
ILMN_1799836	111.6007	110.7064	110.5313	99.70773	92.00287	114.2128	114.1862	103.4191	107.4937	103.3522
ILMN_1799837	105.5976	126.2992	124.1718	107.7284	136.3307	120.5075	181.1023	155.6934	148.1609	162.8583
ILMN_1799843	76.72382	73.69894	82.37936	81.67315	84.57277	79.77414	74.13152	83.74801	85.97962	86.13377
ILMN_1799848	115.6682	119.1395	101.2066	132.7132	104.135	125.6278	99.37048	135.8803	122.1902	204.4966
ILMN_1799853	145.6828	170.9288	161.6046	163.6702	138.019	195.3042	199.7037	190.6551	152.2761	165.4636
ILMN_1799856	1291.934	3326.034	1609.399	2953.472	947.0308	2179.246	793.1806	1913.198	922.4482	2025.207
ILMN_1799860	170.9864	185.7995	272.4432	236.1103	246.6777	235.2726	271.035	212.3695	302.8331	209.8689
ILMN_1799863	106.5634	112.7621	120.1042	107.8871	104.5071	117.1201	116.8064	107.5181	121.9689	107.5443
ILMN_1799871	88.0424	99.69897	88.8663	85.6216	113.8907	99.21686	101.5367	110.6711	87.0918	103.6763
ILMN_1799872	83.18829	82.36452	81.89287	79.27846	92.05009	84.72477	84.38268	94.186	103.3249	96.04658
ILMN_1799887	112.5713	106.2372	125.2871	92.68269	114.4274	110.4299	110.6369	109.3625	119.9233	100.8152
ILMN_1799889	117.1467	132.7272	123.883	144.9922	116.1896	130.0934	115.9204	118.4815	119.533	132.33
ILMN_1799890	186.8297	116.317	167.7378	163.2166	298.9961	238.3023	162.2006	131.4043	193.6224	167.2243
ILMN_1799903	128.5161	147.412	114.4845	139.9129	114.572	123.5417	130.5618	121.1799	109.7734	121.6195
ILMN_1799920	112.5036	105.9357	100.0534	107.2954	107.7292	112.8468	115.9989	99.57993	107.2001	105.9089
ILMN_1799939	128.6805	129.7602	136.3588	139.5592	153.3766	163.8598	154.4306	174.0658	156.4438	146.2473
ILMN_1799942	100.7523	97.10757	104.9051	96.35577	102.4215	112.1506	97.40942	94.60018	92.2121	95.45271
ILMN_1799969	215.7218	174.1256	288.1025	378.7744	349.5539	446.726	307.9592	387.7169	311.6849	354.0816
ILMN_1799980	99.6367	117.0966	113.3773	107.3487	117.1761	105.8948	94.50245	101.6664	117.023	96.12186
ILMN_1799985	108.5658	103.1717	112.7965	113.0914	102.3018	97.54269	90.03968	89.00031	120.518	121.4383
ILMN_1799996	90.40575	122.2997	102.7695	96.22691	95.5722	113.1629	106.3798	104.4513	120.918	114.3761
ILMN_1799999	92.45132	86.00906	85.40701	99.52229	99.25804	83.18829	89.98326	89.55706	96.26508	97.73578
ILMN_1800002	95.40318	96.72323	101.8099	87.82964	100.9939	98.60677	104.5165	104.0078	121.3536	96.3392
ILMN_1800008	310.1129	296.2688	473.6486	395.1011	432.8415	341.9812	560.3472	383.5431	427.8651	270.0387
ILMN_1800019	106.973	108.3982	106.5333	113.3788	112.3882	101.2882	94.82526	103.2151	86.91814	123.4146
ILMN_1800020	128.6525	138.533	133.877	104.1124	122.1674	139.9899	124.6376	109.7709	107.5578	123.9733
ILMN_1800031	103.1763	105.3612	117.359	109.7663	105.2703	108.5242	97.61005	99.56097	121.014	86.99246
ILMN_1800033	91.99883	94.36935	97.18411	117.7532	102.0208	97.08672	124.0888	88.94086	94.50375	83.6775
ILMN_1800038	84.87364	98.42046	86.98043	87.64494	88.87887	94.28736	79.14584	99.69435	87.08236	78.82464
ILMN_1800049	128.7091	108.5602	116.748	113.4281	107.1614	110.266	97.47723	84.5107	123.9816	110.9464
ILMN_1800055	139.2372	125.4536	130.6139	136.7767	148.2359	127.4964	127.6421	113.212	121.6596	165.015
ILMN_1800058	79.00491	79.16444	100.4088	80.8578	84.34749	77.11802	92.75103	85.49551	76.10698	84.72244
ILMN_1800059	111.6205	104.7208	109.342	131.2644	99.60805	121.4108	114.3559	102.2421	117.744	103.8726
ILMN_1800078	139.903	136.575	143.1911	160.4272	685.0718	640.9534	202.5549	278.7739	133.152	142.6641
ILMN_1800082	127.1475	90.14457	115.1396	114.572	108.3302	136.9687	113.5039	111.8793	113.8134	96.54259
ILMN_1800091	117.6837	111.0215	84.4235	108.6535	109.5584	92.08497	118.0432	110.7475	97.30097	95.43298
ILMN_1800096	105.9336	109.8324	127.2219	93.14236	125.1164	124.1137	102.9448	135.1116	126.0769	126.2281
ILMN_1800101	85.69434	89.4061	90.75865	79.67673	96.31425	93.13889	101.4986	80.05882	87.59595	85.65223
ILMN_1800103	157.5704	128.6525	125.2148	101.5635	115.6436	130.7682	99.02644	109.4618	124.6889	119.6225
ILMN_1800130	103.4697	103.3033	96.48504	106.2915	103.5652	98.03512	98.29604	108.6233	92.77962	100.5464
ILMN_1800131	160.3229	191.6871	179.4945	222.7531	199.4753	221.6962	184.5524	244.83	142.2724	200.6851
ILMN_1800142	106.0145	84.34001	88.44165	90.40295	91.23856	92.65942	92.83795	86.74924	85.73734	85.92883
ILMN_1800147	96.36819	116.6116	123.4618	112.814	110.8824	103.3365	93.94094	107.1357	117.8155	104.0995
ILMN_1800152	120.197	105.2833	111.3624	101.1277	104.4072	105.141	112.6406	113.5237	120.3916	106.3667
ILMN_1800160	90.79153	79.36247	96.89429	88.80183	91.51976	103.4097	100.424	101.3818	98.48885	106.9042
ILMN_1800164	788.5823	986.8873	373.0017	535.5547	356.751	404.2365	319.9025	500.6454	322.353	395.4556
ILMN_1800169	90.60376	110.8811	103.3474	103.8761	89.41727	90.80398	113.7132	99.77605	91.21221	99.45161
ILMN_1800171	91.27844	88.72054	84.33157	95.33827	100.769	97.64848	91.92068	85.26307	99.58644	93.07314
ILMN_1800172	93.32896	104.7898	102.5791	93.20734	115.3892	102.941	95.77977	118.388	97.57448	131.2426
ILMN_1800179	107.6117	104.4724	111.5906	107.6098	107.9179	117.7329	128.8486	113.0606	93.51125	110.0943
ILMN_1800181	110.0495	96.05658	101.4592	92.68095	105.1019	90.88325	110.6252	90.16004	108.9305	96.78564
