ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1659599	8.99e-01	5.03e-01	-0.6915967	-6.499801	-0.08972175	AZIN2	antizyme inhibitor 2
ILMN_1776347	8.99e-01	5.03e-01	0.6915758	-6.499816	0.17898531	TCP1	t-complex 1
ILMN_1697594	8.99e-01	5.03e-01	-0.6915325	-6.499847	-0.05591912	ANKRD28	ankyrin repeat domain 28
ILMN_2198878	8.99e-01	5.03e-01	0.6915057	-6.499866	0.06207881	INPP4B	inositol polyphosphate-4-phosphatase type II B
ILMN_1725108	8.99e-01	5.03e-01	-0.6914961	-6.499872	-0.05979552		
ILMN_1803371	8.99e-01	5.03e-01	0.6914002	-6.499941	0.05820354		
ILMN_1668065	8.99e-01	5.03e-01	-0.6913823	-6.499953	-0.11150038	ELMOD3	ELMO domain containing 3
ILMN_2203549	8.99e-01	5.03e-01	0.6913526	-6.499975	0.06221666	OR2A9P	olfactory receptor family 2 subfamily A member 9 pseudogene
ILMN_1681757	8.99e-01	5.03e-01	0.6913299	-6.499991	0.08004276	RIMKLB	ribosomal modification protein rimK like family member B
ILMN_3305169	8.99e-01	5.03e-01	-0.691292	-6.500018	-0.17120057		
ILMN_1656132	8.99e-01	5.03e-01	0.6912895	-6.50002	0.05273091	PNLDC1	PARN like, ribonuclease domain containing 1
ILMN_1850456	8.99e-01	5.03e-01	-0.6912558	-6.500044	-0.0466133		
ILMN_1784408	8.99e-01	5.03e-01	-0.6911921	-6.500089	-0.0863082		
ILMN_1855198	8.99e-01	5.03e-01	0.6911507	-6.500118	0.05584382		
ILMN_1675100	8.99e-01	5.03e-01	-0.691143	-6.500124	-0.03714867	EDNRB	endothelin receptor type B
ILMN_1667408	8.99e-01	5.03e-01	-0.6911187	-6.500141	-0.0616708	EPB41	erythrocyte membrane protein band 4.1
ILMN_1860117	8.99e-01	5.03e-01	-0.6911013	-6.500153	-0.05208071		
ILMN_2256106	8.99e-01	5.03e-01	0.6910857	-6.500165	0.04912358	NIN	ninein
ILMN_1817113	8.99e-01	5.03e-01	0.6910429	-6.500195	0.03681854		
ILMN_1680412	8.99e-01	5.03e-01	0.691042	-6.500196	0.05608584		
ILMN_3236215	9.00e-01	5.04e-01	0.6909016	-6.500296	0.05198036	CHKB-AS1	CHKB antisense RNA 1 (head to head)
ILMN_1857569	9.00e-01	5.04e-01	0.690882	-6.50031	0.03841282	SNX18	sorting nexin 18
ILMN_2059844	9.00e-01	5.04e-01	-0.690795	-6.500371	-0.09455709	ANKRD44	ankyrin repeat domain 44
ILMN_1781560	9.00e-01	5.04e-01	0.6907526	-6.500402	0.09142002	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
ILMN_3281855	9.00e-01	5.04e-01	-0.6907393	-6.500411	-0.07203851		
ILMN_3308335	9.00e-01	5.04e-01	-0.690701	-6.500438	-0.27515327	RNU6-1	RNA, U6 small nuclear 1
ILMN_1717129	9.00e-01	5.04e-01	0.6905881	-6.500519	0.0657478		
ILMN_2107068	9.00e-01	5.04e-01	-0.6905129	-6.500572	-0.0590468	HOXA2	homeobox A2
ILMN_1745068	9.00e-01	5.04e-01	-0.6904818	-6.500594	-0.053166	GRTP1	growth hormone regulated TBC protein 1
ILMN_2204215	9.00e-01	5.04e-01	0.6904808	-6.500595	0.04031247	HHIP	hedgehog interacting protein
